count;concept;node1;node2;node3
191240153;the;this;its;a
122830575;of;ofthe;in;ofthat
77363079;and;and/or;etc;short_and_long-term
75200080;in;within;throughout;1n
68101340;to;will;may;must
58725416;a;another;this;the
35952311;for;forthe;fot;regarding
26944275;is;was;are;remains
24632504;on;upon;on-the-job;thereon
21267491;be;remain;lead;include
19108353;by;through;subsequently;newly
18162980;as;known_mark;bodes;known_phenomenon
16967408;with;v/ith;wilh;widi
16896686;that;which;therefore;what
15907399;or;and/or;any;requiring
14752638;e;o;u;n
14747485;are;were;is;was
13746404;s;its;whose;v
12245248;this;the;it;which
12213580;i;we;you;e
11466766;from;fiom;therefrom;trom
11317972;at;case_at;atthe;square_fit
10621284;it;he;everything;which_it
10459388;an;ofan;another;a
10230821;not;nothing;mestic;hardly
9654519;l;r;t;n
9426448;c;b;d;n
8876383;which;whose;that;where
8788442;no;nothing;little_evidence;no_3719/88
8691114;t;r;l;f
7888560;m;n;d;g
7832540;r;t;n;l
7452207;n;r;h;u
7430057;d;c;f;h
6962615;p;l;h;f
6870337;have;has;had;having
6807317;o;e;u;t
6749291;other;fewer;rather;more
6527760;b;c;d;v
6376230;has;have;had;having
6167322;was;were;is;are
6023213;-;--;multi;ccp/postrekenlng
5827240;shall;must;should;may
5731545;article;articles;paragraph;that_article
5045287;de;des;pour;du
4788244;their;theh;its;themselves
4785439;will;should;would;could
4716920;been;taken_place;arisen;undergone
4656692;can;could;may;might
4639082;more;less;rather;greater
4615930;may;might;could;can
4614979;also;nonetheless;additionally;still
4614582;g;t;d;f
4598671;en;en/fr;quen;social_en
4558563;f;n;t;d
4426031;all;all_the;both;all_these
4403940;its;their;his;the
4281515;these;all_these;certain;some
4068532;than;ihan;tnan;neverthe
4051526;between;betwen;among;betweeen
4040660;were;are;was;is
3893507;such;well;regards;sociated
3785478;should;must;will;could
3756140;the_commission;which_the_commission;commision;high_authority
3629765;h;n;d;f
3367081;if;when;where;unless
3319121;under;tinder;within;underthe
3252001;they;we;you;themselves
3250669;but;although;however;albeit
3213035;there;observed;lacking;given
3054064;only;always;merely;just
3015970;used;utilized;utilised;applied
3001380;where;if;when;whenever
2988526;eu;union;europe;european_union
2915762;member_states;members_states;eu_member_states;member_slates
2765914;j;jl;jr;jj
2752992;any;slightest;another;that_person
2751374;out;forth;aside;out/
2747750;u;o;e;n
2736560;x;efcu/100;q;ray_diffraction
2624322;one;which_one;one_person;one_group
2572793;we;you;they;i
2571456;link;html;aspx;htm_link
2561795;within;outside;throughout;inside
2445873;some;many;certain;few
2436849;would;might;will;could
2436327;ec;eec;eeq;eu
2412514;v;b;h;n
2370178;use;make_use;possible_use;that_use
2256227;up;aside;forth;ing-up
2253514;regulation;council_regulation;commission_regulation;commission_regulations
2193651;those;ones;other;themselves
2177432;each;every;another;per
2152018;when;if;where;before
2146654;must;should;will;may
2135605;oj;0j;council_oj;ojl
2099737;however;although;moreover;nevertheless
2072090;information;specific_information;basic_information;relevant_information
2002507;k;kl;z;h
1999991;two;three;four;five
1989365;y;u;e;z
1984192;annex;annexes;annexes_ii;appendix
1937517;most;vast_majority;majority;highly
1917415;including;involving;covering;encompassing
1899252;eur;ecu;usd;circa_eur
1897251;case;particular_case;specific_case;latter_case
1879028;over;during;around;throughout
1875577;number;total_number;considerable_number;large_number
1841372;data;statistical_data;national_data;raw_data
1833016;through;via;by;alongside
1830816;w;h;f;d
1808988;et;pour;ou;et_des
1795993;so;experience_shows;fact;too
1787610;during;after;over;throughout
1784888;based;predicated;relying;premised
1782563;made;undertaken;submitted;drawn
1767056;available;accessible;unavailable;obtainable
1760078;figure;table;fig;fi_gure
1758112;provided;supplied;given;offered
1748981;table;figure;table_ii;table_iv
1739647;order;particular_the_need;attempting;ability
1731098;both;all;various;many
1714259;per;every;/ha/a;each
1697498;well;regards;such;sessment
1692471;do;did;does;docs
1689684;into;onto;forward;together
1674339;about;around;regarding;approximately
1659783;la;une;cette;toute
1655512;after;before;afterwards;during
1614637;set;setting;which_set;sets
1596294;same;such;identical;sane
1595634;first;second;fourth;third
1583788;could;can;might;may
1567648;part;further_part;consequence;key_part
1557602;countries;eu_countries;european_countries;western_european_countries
1556496;time;moment;given_time;particular_time
1516674;eec;ec;eeq;26/64/eec
1492350;europe;eu;world;western_europe
1492109;council;council_of_ministers;eu_council;coundl
1464732;directive;council_directive;that_directive;european_directive
1427946;ii;iii;iv;viii
1417897;results;overall_results;preliminary_results;initial_results
1406668;accordance;conjunction;compliance;line
1401352;development;further_development;continued_development;creation
1399175;/;either;etc;ganisational
1389507;referred;refered;specified;refened
1384994;very;quite;extremely;fairly
1384178;work;working;that_work;research_work
1379287;who;whom;which;whose
1367994;community;union;european_community;european_union
1358598;being;was;were;latter_being
1345970;products;goods;product;processed_products
1340235;provide;offer;give;deliver
1336699;certain;some;these;many
1318062;whereas;since;although;while
1313916;using;utilizing;utilising;making_use
1307587;year;month;week;quarter
1293012;es;ie;ed;el
1286765;report;first_report;second_report;draft_report
1273987;since;although;because;until
1271727;therefore;consequently;hence;thus
